Ticker,ME,PB,ROE,RevGrowth
COIN,65338036224,4.0638,0.26005,0.589
CL,64601088000,75.26365,2.93635,0.019
CMCSA,108477030400,1.1059664,0.24186,-0.027
CAG,8122713600,1.0039614,-0.0116,-0.068
COP,115814424576,1.7649746,0.15421,0.14
ED,35714576384,1.4780349,0.08839,0.107
STZ,24235307008,3.2487867,0.15912,-0.15
CEG,112881500160,7.863034,0.19839,0.003
COO,16477283328,1.9706589,0.045939997,0.046
CPRT,37897891840,3.9473684,0.18124,0.007
GLW,76596576256,6.2576165,0.12739,0.209
CPAY,21874216960,5.3235145,0.29097,0.139
CTVA,45601566720,1.801959,0.06705,0.126
CSGP,28243550208,3.2756586,0.00252,0.204
COST,379490598912,12.522193,0.30325,0.083
CTRA,19826376704,1.3486296,0.118549995,0.349
CRWD,120714813440,30.051462,-0.088149995,0.222
CCI,38069575680,-25.472029,-2.06679,-0.043
CSX,68213895168,5.342386,0.22589001,-0.009
CMI,71377174528,5.916565,0.22767,-0.016
CVS,99066511360,1.3590137,0.0057800002,0.078
DHR,165286182912,3.1923163,0.06843,0.044
DRI,21803247616,10.417827,0.54104,0.073
DDOG,49525227520,14.395066,0.03519,0.284
DVA,8202480128,-14.23855,0.61618,0.048
DAY,11064816640,4.105213,-0.05706,0.095
DECK,14935209984,5.964455,0.43312,0.091
DE,126084366336,4.8570623,0.20427999,0.126
DELL,85530951680,-32.48982,,0.108
DAL,46033874944,2.4295266,0.28514,0.064
DVN,23068633088,1.4891002,0.18586999,0.071
DXCM,26219501568,9.565093,0.30635,0.216
FANG,42890264576,1.087381,0.10901,0.42
DLR,53812535296,2.3678582,0.05825,0.111
DG,29550956544,3.6098416,0.16450001,0.046
DLTR,24380274688,6.923656,0.20066999,0.094
D,49646518272,1.8595874,0.09204,0.149
DPZ,14468350976,-3.775514,,0.031
DASH,100293353472,10.560472,0.100430004,0.273
DOV,27423784960,3.5787797,0.15883,0.048
DOW,16276572160,0.9279144,-0.05287,-0.083
DHI,42193985536,1.7586551,0.14321,-0.032
DTE,26691420160,2.1953845,0.11658,0.214
DUK,90823057408,1.7996485,0.09905,0.048
DD,17194747904,0.7508645,0.03217,0.073
EMN,7175877632,1.2346387,0.12116,-0.106
ETN,125669933056,6.6539555,0.20653,0.101
EBAY,38410850304,8.086396,0.42430001,0.095
ECL,75086856192,11.285702,0.21869,0.178
EIX,23113132032,1.4900268,0.15765001,0.106
EW,50625638400,4.9066806,0.13492,0.147
EA,51089178624,8.488967,0.13201,-0.092
ELV,77285695488,1.7338372,0.12569,0.123
EMR,76186312704,3.7596428,0.09363,0.051
ENPH,4216300032,4.2372437,0.20305,0.078
ETR,41234292736,2.4748044,0.11188,0.125
EOG,56777854976,1.8672005,0.18476999,-0.024
EPAM,11584957440,3.0820293,0.10207,0.194
EQT,34024343552,1.4696211,0.08488,0.514
EFX,27102191616,5.4613843,0.13066,0.072
EQIX,74634182656,5.271944,0.077,0.066
EQR,24530712576,2.143103,0.10444,0.046
ERIE,14838818816,6.426905,0.30444,0.067
ESS,17936392192,2.9700243,0.15987,0.062
EL,38789177344,9.971283,-0.20727,0.036
EG,14148284416,0.9206957,0.03595,-0.009
EVRG,16706639872,1.6236353,0.08454,-0.001
ES,24901304320,1.553205,0.0861,0.051
EXC,43894046720,1.5617925,0.10308,0.09
EXE,26477324288,1.4586942,0.061189998,3.193
EXPE,35658543104,26.523422,0.53886,0.087
EXPD,20581713920,8.9122,0.36505002,-0.035
EXR,28675227648,2.0168643,0.06786,0.034
XOM,509116973056,1.9328003,0.11424,-0.051
FFIV,15130020864,4.182752,0.20602,0.085
FDS,10997234688,5.019413,0.28831,0.068
FICO,41425031168,-23.491827,,0.136
FAST,47896051712,12.299529,0.32742,0.117
FRT,8778006528,2.8558922,0.10516,0.06
FDX,69656412160,2.465322,0.15886,0.139
FIS,34894893056,2.5015917,0.011829999,0.057
FITB,31796254720,1.6441634,0.115109995,0.067
FSLR,28907743232,3.2065277,0.16864,0.797
FE,25786988544,2.014895,0.11192001,0.112
FI,34314950656,1.3638307,0.1354,0.009
F,52953989120,1.1173701,0.10295,0.094
FTNT,61807022080,81.47475,2.28043,0.144
FTV,18825033728,2.717062,0.103649996,0.023
FOXA,32723017728,2.6853437,0.17272,0.049
FOX,30373867520,2.3498125,0.17272,0.049
BEN,12612441088,1.0433921,0.03818,0.06
FCX,74524803072,3.9858692,0.14538999,0.027
GRMN,39118622720,4.611405,0.19655001,0.117
IT,18962728960,32.802307,1.0925701,0.027
GE,334600437760,17.69261,0.42131,0.238
GEHC,38040748032,3.7979763,0.24450001,0.058
GEV,180062519296,20.757235,0.16723,0.118
GEN,16928857088,6.893521,0.25027,0.253
GNRC,8208139776,3.1047723,0.11969,-0.05
GD,92878217216,3.7954786,0.17782,0.106
GIS,24886267904,2.6712487,0.27173,-0.072
GM,78784438272,1.1631993,0.04442,-0.003
GPC,17230225408,3.5996397,0.16994,0.049
GILD,155336622080,7.2184744,0.40706003,0.03
GPN,19454664704,0.8370389,0.07233,0.005
GL,11532473344,2.0097404,0.22277,0.04
GDDY,17548412928,186.94691,3.69454,0.103
GS,272966631424,2.590979,0.13532,0.207
HAL,24017801216,2.3275223,0.12788,-0.017
HIG,38789451776,2.1467931,0.20069,0.07
HAS,11424837632,28.11119,-0.62839,0.083
HCA,110922285056,-20.423075,,0.096
DOC,10966307840,1.4434687,-0.00115,0.008
HSIC,9277032448,2.6986983,0.08347999,0.052
HSY,37032615936,8.112839,0.31013,0.065
HPE,32802824192,1.3125434,0.0023,0.144
HLT,68530757632,-13.76837,,0.035
HOLX,16688915456,3.301001,0.11116,0.062
HD,343421583360,28.329638,1.62909,0.028
HON,131741523968,7.3960576,0.34616002,0.07
HRL,13252083712,1.6772262,0.06002,0.015
HST,12789143552,1.8955194,0.109239995,0.009
HWM,84351926272,16.599604,0.30064,0.138
HPQ,21432713216,-60.984047,,0.042
HUBB,24229756928,6.5818768,0.24991,0.041
HUM,30924611584,1.6696104,0.07159,0.111
HBAN,27921260544,1.3258057,0.10434,0.148
HII,13911872512,2.7912762,0.12387,0.161
IBM,283953856512,10.175861,0.30156,0.091
IEX,13577309184,3.3717864,0.12197,0.101
IDXX,54588002304,34.963364,0.64633006,0.133
ITW,73408446464,22.773558,0.91683,0.023
INCY,19810924544,4.255113,0.30389,0.2
IR,32372506624,3.1791568,0.05382,0.051
PODD,20097069056,14.510062,0.19679001,0.299
INTC,173389479936,1.6285841,0.0018600001,0.028
ICE,92703916032,3.2226932,0.114930004,0.026
IFF,17009774592,1.1944785,-0.03232,-0.079
IP,20836390912,1.2029021,-0.042779997,0.564
IPG,8999164928,2.4411328,0.14948,-0.048
INTU,187680587776,9.717053,0.21987,0.41
ISRG,206962835456,12.102803,0.16902,0.229
IVZ,12081159168,1.096628,0.06904,0.082
INVH,16484123648,1.7125207,0.06,0.065
IQV,38343045120,6.2245994,0.19374001,0.052
IRM,23883632640,-27.068678,,0.126
JBHT,19072362496,5.2524524,0.15126,-0.005
JBL,25114253312,18.714275,0.47823003,0.187
JKHY,13465587712,6.1854534,0.2345,0.073
J,16133261312,4.443645,0.06523,
JNJ,495784755200,6.245789,0.33619,0.068
JCI,79265710080,5.7263746,0.11374,0.031
JPM,896227278848,2.6083372,0.16437,0.088
K,29031499776,6.907285,0.32112,0.008
KVUE,32608700416,3.0661142,0.13469,-0.035
KDP,37904470016,1.4967811,0.06291,0.107
KEY,23081658368,1.3309307,0.058179997,2.026
KEYS,35265462272,5.9749064,0.1582,0.103
KMB,33225820160,24.94021,1.3688201,0.001
KIM,13618394112,1.2986763,0.056700002,0.056
KMI,60691464192,1.9743794,0.08884,0.121
KKR,121295781888,4.2901587,0.07672,0.132
KLAC,167074742272,33.47184,0.99167997,0.13
KHC,28052637696,0.6769881,-0.09693,-0.023
KR,41284853760,5.0494404,0.07997,0.007
LHX,55722442752,2.8539803,0.091309994,0.069
LH,21036765184,2.4159684,0.10135999,0.086
LRCX,220882419712,21.638048,0.62261003,0.277
LW,5824933376,3.3087943,0.23164,0.011
LVS,45443227648,28.571428,0.65651,0.242
LDOS,23904360448,4.8527155,0.2929,0.067
LEN,25867737088,1.2037005,0.08406,-0.058
LII,17370712064,16.209438,0.92253995,-0.048
LLY,960678920192,40.347893,0.9647,0.539
LIN,199333445632,5.1403284,0.17979999,0.031
LYV,33461354496,63.592236,0.5636,0.111
LKQ,7716222464,1.172767,0.10882,0.013
LMT,112658563072,17.956017,0.62776,0.088
L,22300411904,1.2163279,0.08182,0.046
LOW,135834402816,-13.084945,,0.032
LULU,25221541888,5.5700183,0.41017,0.071
LYB,13727882240,1.2950537,-0.10584,-0.102
MTB,32257107968,1.2111362,0.09628,0.08
MPC,50588979200,2.9295259,0.18887,-0.008
MKTX,6846537728,4.9384184,0.15823,0.01
MAR,85256757248,-27.126448,,0.056
MMC,91392901120,6.011512,0.28734,0.115
MLM,38522998784,3.9571567,0.12523,0.124
MAS,13413927936,-170.39894,5.6387095,-0.033
MA,521027190784,65.63603,1.8486099,0.167
MTCH,7882781184,-34.962646,,0.021
MKC,18491082752,3.214219,0.1385,0.027
MCD,221816799232,-102.351006,,0.03
MCK,102707920896,-58.879776,,0.101
MDT,125016588288,2.5683117,0.09822,0.066
MRK,262367166464,5.0390983,0.39485002,0.037
META,1675999576064,8.637828,0.32643002,0.262
MET,53807259648,1.8470074,0.12798001,-0.059
MTD,29139400704,-115.96032,,0.079
MGM,10111533056,3.760936,0.10293,0.016
MCHP,35318202368,5.2748404,-0.02854,-0.02
MU,310944432128,5.2898936,0.22554001,0.567
MSFT,3618837102592,9.968264,0.32241002,0.184
MAA,16353078272,2.7415786,0.09408,0.006
MRNA,12616788992,1.3531976,-0.29317,-0.454
MHK,6768029184,0.8089142,0.051999997,0.014
MOH,8889884672,1.9959599,0.19708,0.116
TAP,9102699520,0.88107497,-0.17295,-0.023
MDLZ,70067150848,2.6690655,0.13101,0.059
MPWR,45202649088,12.668501,0.64029,0.189
MNST,75885232128,9.796922,0.25538,0.168
MCO,92439650304,23.235653,0.54914004,0.107
MS,286542266368,2.8499753,0.15135,0.191
MOS,7709837312,0.6032385,0.101169996,0.228
MSI,63039578112,27.106527,1.1517,0.078
MSCI,44972408832,-22.809494,,0.095
NDAQ,56237674496,4.6689215,0.14054,0.029
NTAP,21926082560,22.056225,1.25346,0.028
NFLX,396189728768,15.265306,0.42861,0.172
NEM,115611828224,3.462285,0.22875999,0.2
NWSA,15433407488,1.7102876,0.070250005,0.023
NWS,16741052416,1.9435087,0.070250005,0.023
NEE,166171426816,3.0669587,0.08236,0.053
NKE,84760068096,6.023109,0.17950001,0.006
NI,19686473728,2.1768706,0.09073,0.183
NDSN,13508173824,4.4459553,0.16215,0.01
NSC,65493970944,4.325622,0.2048,0.017
NTRS,26728708096,2.1963372,0.13432,0.042
NOC,83054714880,5.1805873,0.26152,0.043
NCLH,10521000960,4.797592,0.39870998,0.047
NRG,30583343104,23.027964,0.64186996,0.057
NUE,37461872640,1.8036473,0.09014,0.145
NVDA,4606696357888,38.677433,1.07359,0.625
NVR,20275793920,5.292331,0.348,-0.049
NXPI,56972853248,5.672046,0.20872,-0.024
ORLY,77894197248,-87.1875,,0.078
OXY,39506935808,1.4122204,0.05955,-0.077
ODFL,33336870912,7.791914,0.25059,-0.043
OMC,24974594048,3.2921982,0.27007,0.04
ON,22775760896,2.8553116,0.03891,-0.12
OKE,46261874688,2.0953848,0.17847,0.719
ORCL,561237196800,18.73765,0.69026,0.142
OTIS,34471100416,-6.312801,,0.04
PCAR,58675830784,3.0294485,0.14151,-0.19
PKG,18610311168,3.8869784,0.19811001,0.06
PLTR,462696513536,70.20976,0.19504,0.628
PANW,131119636480,15.023158,0.15324001,0.157
PSKY,14925850624,1.2374245,0.01279,-0.004
PH,112262307840,8.125555,0.27294,0.037
PAYX,40961900544,10.556995,0.40884998,0.183
PAYC,8980240384,5.032789,0.28557,0.092
PYPL,56759033856,2.7678902,0.24358,0.073
PNR,17289830400,4.5630355,0.17966999,0.029
PEP,196709007360,10.145459,0.37162,0.027
PFE,141460406272,1.5244164,0.105979994,-0.059
PCG,34858860544,1.1466994,0.0876,0.052
PM,252268871680,-23.115105,,0.094
PSX,52180520960,1.9327893,0.056199998,-0.029
PNW,10536345600,1.4699105,0.087749995,0.029
PNC,83282993152,1.5622236,0.11486,0.108
POOL,8603666432,6.2346196,0.29307,0.013
PPG,23172618240,2.9537673,0.1616,0.012
PPL,25750323200,1.7861358,0.076620005,0.084
PFG,19942230016,1.6922175,0.13767,0.222
PG,335110668288,6.3729024,0.31902,0.03
PGR,133589114880,3.7676487,0.34223998,0.142
PLD,118681337856,2.2570217,0.05963,0.087
PRU,40184844288,1.2449028,0.085,-0.083
PEG,40146956288,2.3596199,0.12579,0.221
PTC,21085913088,5.4990788,0.2085,0.427
PSA,45520367616,9.17362,0.19933,0.031
PHM,23158788096,1.7861435,0.21569,-0.016
PWR,64895238144,7.7293315,0.13369,0.175
QCOM,188555264000,8.850342,0.2334,0.1
DGX,19578048512,2.6775963,0.14353,0.132
RL,21996791808,8.527033,0.34005,0.165
RJF,33051881472,2.6437333,0.17666,0.07
RTX,249061785600,3.8605897,0.10702,0.119
O,51450331136,1.3175191,0.02488,0.103
REG,12717917184,1.9114517,0.0602,0.077
REGN,83218153472,2.6072736,0.15188,0.009
RF,24583094272,1.3777066,0.11401,0.156
RSG,66520698880,5.563796,0.18249,0.033
RMD,35703353344,5.831724,0.25413,0.091
RVTY,11326362624,1.5085648,0.0304,0.022
ROK,44843335680,12.268603,0.20282,0.138
ROL,29225084928,19.215439,0.36208,0.12
ROP,48365801472,2.419162,0.081549995,0.143
ROST,58739118080,9.937277,0.37425,0.104
RCL,79711272960,7.883324,0.46677,0.052
SPGI,160325238784,4.80871,0.119940005,0.088
CRM,250785349632,4.1343756,0.12184,0.086
SBAC,20450504704,-4.1529975,,0.097
SLB,57067880448,2.2261074,0.15182,-0.025
STX,61614211072,-958.64404,,0.213
SRE,57879797760,1.8575228,0.0677,0.135
NOW,160285999104,14.175774,0.16813,0.218
SHW,80796459008,18.047897,0.59939,0.032
SPG,70764036096,26.5234,0.82455003,0.082
SWKS,9667502080,1.6654614,0.0789,0.073
SJM,10450709504,1.7245021,-0.17438,0.026
SW,19968405504,1.0802566,0.04099,0.043
SNA,18362030080,3.1457832,0.18330999,0.036
SOLV,13971201024,2.8019342,0.37271,0.007
SO,95124447232,2.7176921,0.11429,0.075
LUV,21826801664,2.764033,0.04168,0.012
SWK,11562162176,1.2876463,0.04918,0.001
SBUX,95357206528,-11.774782,,0.055
STT,37078978560,1.5316107,0.111499995,0.094
STLD,26084653056,2.879194,0.12550999,0.112
STE,25153515520,3.5744379,0.101339996,0.099
SYK,135691558912,6.2286277,0.14036,0.102
SMCI,18362832896,2.8142726,0.12787,-0.155
SYF,31836962816,1.9451705,0.21636999,0.207
SNPS,90966065152,3.1218483,0.0716,0.378
SYY,35430928384,17.13128,0.8346,0.032
TMUS,222461575168,3.655884,0.19034,0.089
TROW,22856976384,2.1036136,0.1867,0.06
TTWO,46052425728,13.413164,-0.86609,0.311
TPR,26794792960,66.65294,0.16053,0.131
TRGP,39765303296,14.667037,0.4985,0.078
TGT,42849841152,2.7545714,0.25094998,-0.016
TEL,68540735488,5.446226,0.14618,0.167
TDY,24362868736,2.3068786,0.08127,0.067
TER,31576096768,11.486604,0.15767999,0.043
TSLA,1614884765696,20.18289,0.06791,0.116
TXN,160990003200,9.680735,0.29757,0.142
TPL,20497403904,14.984124,0.3937,0.17
TXT,16127579136,2.1274095,0.11465,0.051
TMO,217888129024,4.2707963,0.13116999,0.049
TJX,173529415680,18.500237,0.58396,0.075
TKO,17716926464,4.4544945,0.08129,-0.273
TTD,18306021376,6.9785647,0.16783,0.177
TSCO,26990856192,10.501645,0.45459,0.072
TT,87613194240,10.498054,0.3721,0.055
TDG,74073579520,-7.650921,,0.115
TRV,65842642944,2.063297,0.19809,0.048
TRMB,19156510720,3.307585,0.06131,0.029
TFC,65103581184,1.0811795,0.07982,0.025
TYL,19997771776,5.5192056,0.091680005,0.097
TSN,20403156992,1.128006,0.0276,0.022
USB,84796768256,1.5001514,0.1172,0.072
UBER,168856354816,5.985806,0.72994006,0.204
UDR,13572429824,3.6894894,0.03649,0.066
ULTA,27086407680,10.210087,0.47967,0.129
UNP,138888626176,8.025982,0.41619,0.025
UAL,36753973248,2.56861,0.25588,0.026
UPS,84999757824,5.369527,0.33618,-0.037
URI,52621467648,5.794601,0.28781,0.059
UNH,294216368128,3.072121,0.17476,0.122
UHS,14463165440,1.9806182,0.20028,0.134
VLO,51186089984,2.1157181,0.052389998,-0.032
VTR,37160562688,3.0042152,0.021559998,0.218
VLTO,25485238272,8.951683,0.37978,0.068
VRSN,22892578816,-11.103661,,0.073
VRSK,30522134528,80.82131,2.68133,0.059
VZ,168319696896,1.6023762,0.19875,0.015
VRTX,117737152512,6.7335806,0.22307,0.11
VTRS,13876696064,0.91560024,-0.21087,0.002
VICI,29670205440,1.0721458,0.10357001,0.044
V,681987080192,18.23238,0.52068,0.115
VST,54777917440,20.026012,0.1731,-0.209
VMC,38693212160,4.4257045,0.13520999,0.144
WRB,26688888832,2.7226207,0.20887,0.108
GWW,48975437824,13.693628,0.46719003,0.061
WAB,37533650944,3.3961883,0.11147001,0.084
WMT,884189233152,9.200266,0.23661,0.058
DIS,203562074112,1.8456272,0.12203,-0.005
WBD,72245321728,2.0046763,0.00969,-0.06
WM,88767725568,9.3253765,0.29328,0.149
WAT,22819266560,9.787001,0.32987,0.08
WEC,34162399232,2.517801,0.12807,0.129
WFC,302629093376,1.8078998,0.115200005,0.075
WELL,128247259136,3.2983248,0.0275,0.306
WST,19963576320,6.5382524,0.16945,0.077
WDC,61103300608,10.353741,0.29707,
WY,16991583232,1.7986709,0.03419,0.021
WSM,22456705024,10.951909,0.56918997,0.046
WMB,72967823360,5.8480964,0.16902,0.083
WTW,32415197184,4.126259,0.27633,-0.0
WDAY,57522479104,6.405614,0.073359996,0.126
WYNN,12992907264,-34.76906,,0.083
XEL,43779858432,2.0665681,0.09449001,0.074
XYL,33749680128,3.0118413,0.08555,0.078
YUM,42905690112,-5.724181,,0.084
ZBRA,12546549760,3.3413224,0.14286,0.052
ZBH,17723375616,1.3894845,0.06421,0.097
ZTS,54750887936,10.1038685,0.49868,0.005
