Symbol,Sector
KMB,Consumer Defensive
KMI,Energy
KKR,Financial Services
KLAC,Technology
KHC,Consumer Defensive
KR,Consumer Defensive
LHX,Industrials
LH,Healthcare
LRCX,Technology
LW,Consumer Defensive
LVS,Consumer Cyclical
LDOS,Technology
LEN,Consumer Cyclical
LLY,Healthcare
LII,Industrials
LKQ,Consumer Cyclical
LMT,Industrials
L,Financial Services
LIN,Basic Materials
LOW,Consumer Cyclical
LULU,Consumer Cyclical
LYV,Communication Services
MTB,Financial Services
MPC,Energy
MAR,Consumer Cyclical
HAS,Consumer Cyclical
MAS,Industrials
MA,Financial Services
MLM,Basic Materials
MMC,Financial Services
MKC,Consumer Defensive
LYB,Basic Materials
MTCH,Communication Services
MCD,Consumer Cyclical
MDT,Healthcare
MCK,Healthcare
MRK,Healthcare
MET,Financial Services
HST,Real Estate
MTD,Healthcare
MGM,Consumer Cyclical
MCHP,Technology
MU,Technology
META,Communication Services
MSFT,Technology
MAA,Real Estate
MHK,Consumer Cyclical
MOH,Healthcare
TAP,Consumer Defensive
MDLZ,Consumer Defensive
MPWR,Technology
MNST,Consumer Defensive
MS,Financial Services
MCO,Financial Services
MOS,Basic Materials
MSI,Technology
MSCI,Financial Services
NDAQ,Financial Services
NTAP,Technology
NFLX,Communication Services
NWSA,Communication Services
NKE,Consumer Cyclical
NEE,Utilities
NWS,Communication Services
NEM,Basic Materials
NI,Utilities
NSC,Industrials
NTRS,Financial Services
NOC,Industrials
NCLH,Consumer Cyclical
NRG,Utilities
NVDA,Technology
NXPI,Technology
NVR,Consumer Cyclical
NDSN,Industrials
ORLY,Consumer Cyclical
OXY,Energy
MRNA,Healthcare
NUE,Basic Materials
ODFL,Industrials
ON,Technology
OMC,Communication Services
OKE,Energy
ORCL,Technology
PCAR,Industrials
PKG,Consumer Cyclical
PLTR,Technology
OTIS,Industrials
PANW,Technology
PSKY,Communication Services
PH,Industrials
PAYX,Technology
PAYC,Technology
PYPL,Financial Services
PEP,Consumer Defensive
PNR,Industrials
PFE,Healthcare
PSX,Energy
PM,Consumer Defensive
PNW,Utilities
PPL,Utilities
POOL,Industrials
PPG,Basic Materials
PCG,Utilities
PG,Consumer Defensive
PFG,Financial Services
PGR,Financial Services
PLD,Real Estate
PRU,Financial Services
PEG,Utilities
PTC,Technology
PSA,Real Estate
PNC,Financial Services
PHM,Consumer Cyclical
QCOM,Technology
RL,Consumer Cyclical
RTX,Industrials
RJF,Financial Services
REG,Real Estate
O,Real Estate
REGN,Healthcare
RSG,Industrials
RMD,Healthcare
HOOD,Financial Services
ROL,Consumer Cyclical
DGX,Healthcare
ROK,Industrials
ROP,Technology
ROST,Consumer Cyclical
RCL,Consumer Cyclical
RF,Financial Services
CRM,Technology
SPGI,Financial Services
SBAC,Real Estate
STX,Technology
NOW,Technology
SRE,Utilities
SLB,Energy
SHW,Basic Materials
SPG,Real Estate
SWKS,Technology
SJM,Consumer Defensive
SW,Consumer Cyclical
SNA,Industrials
SOLV,Healthcare
SO,Utilities
SWK,Industrials
LUV,Industrials
SBUX,Consumer Cyclical
STT,Financial Services
STLD,Basic Materials
STE,Healthcare
SYK,Healthcare
SYF,Financial Services
SMCI,Technology
SNPS,Technology
SYY,Consumer Defensive
TMUS,Communication Services
TROW,Financial Services
TTWO,Communication Services
TPR,Consumer Cyclical
TGT,Consumer Defensive
TRGP,Energy
TEL,Technology
TER,Technology
TDY,Technology
TSLA,Consumer Cyclical
TXN,Technology
TPL,Energy
TMO,Healthcare
TJX,Consumer Cyclical
TKO,Communication Services
TSCO,Consumer Cyclical
TTD,Communication Services
TT,Industrials
TDG,Industrials
TRMB,Technology
TRV,Financial Services
TYL,Technology
TFC,Financial Services
TXT,Industrials
UBER,Technology
PWR,Industrials
USB,Financial Services
UDR,Real Estate
ULTA,Consumer Cyclical
UNP,Industrials
UAL,Industrials
RVTY,Healthcare
UPS,Industrials
VLO,Energy
UNH,Healthcare
TSN,Consumer Defensive
UHS,Healthcare
VTR,Real Estate
VLTO,Industrials
VRSN,Technology
VRSK,Industrials
VRTX,Healthcare
VTRS,Healthcare
V,Financial Services
URI,Industrials
VST,Utilities
VMC,Basic Materials
WAB,Industrials
VZ,Communication Services
GWW,Industrials
WBD,Communication Services
DIS,Communication Services
WM,Industrials
WAT,Healthcare
WEC,Utilities
VICI,Real Estate
WFC,Financial Services
WRB,Financial Services
WST,Healthcare
WELL,Real Estate
WDC,Technology
WY,Real Estate
WSM,Consumer Cyclical
WMB,Energy
WTW,Financial Services
WMT,Consumer Defensive
WDAY,Technology
XYL,Industrials
WYNN,Consumer Cyclical
XEL,Utilities
ZBRA,Technology
YUM,Consumer Cyclical
ZBH,Healthcare
ZTS,Healthcare
