Ticker,ME,PB,ROE,RevGrowth,BM_proxy,Size,Value,Profitability,Investment
CRL,9984343040,2.9318593,-0.021879999,-0.005,0.3410804877300899,Small,High,Weak,Conservative
CRM,250785349632,4.1343756,0.12184,0.086,0.24187449248684612,Big,Low,Weak,Aggressive
CRWD,120714813440,30.051462,-0.088149995,0.222,0.033276251251935764,Big,Low,Weak,Aggressive
CSCO,308264370176,6.55465,0.22418,0.075,0.15256344732365573,Big,Low,Robust,Aggressive
CSGP,28243550208,3.2756586,0.00252,0.204,0.30528211944920025,Small,High,Weak,Aggressive
CSX,68213895168,5.342386,0.22589001,-0.009,0.1871822814749814,Big,Low,Robust,Conservative
CTAS,76826066944,17.11183,0.43396,0.093,0.058439103240272953,Big,Low,Robust,Aggressive
CTRA,19826376704,1.3486296,0.118549995,0.349,0.7414934389694546,Small,High,Weak,Aggressive
CTSH,41601564672,2.7617288,0.14501001,0.074,0.3620920345256203,Big,High,Weak,Aggressive
CTVA,45601566720,1.801959,0.06705,0.126,0.5549515832491194,Big,High,Weak,Aggressive
CVS,99066511360,1.3590137,0.0057800002,0.078,0.735827755084441,Big,High,Weak,Aggressive
CVX,303250898944,1.5963472,0.07316,-0.014,0.626430140009642,Big,High,Weak,Conservative
CZR,5083313152,1.3247331,-0.04259,-0.002,0.7548690373932682,Small,High,Weak,Conservative
D,49646518272,1.8595874,0.09204,0.149,0.5377536974062096,Big,High,Weak,Aggressive
DAL,46033874944,2.4295266,0.28514,0.064,0.41160282007202553,Big,High,Robust,Conservative
DASH,100293353472,10.560472,0.100430004,0.273,0.09469273721856371,Big,Low,Weak,Aggressive
DAY,11064816640,4.105213,-0.05706,0.095,0.2435927197931021,Small,Low,Weak,Aggressive
DD,17194747904,0.7508645,0.03217,0.073,1.3317982139254152,Small,High,Weak,Conservative
DDOG,49525227520,14.395066,0.03519,0.284,0.06946824696739841,Big,Low,Weak,Aggressive
DE,126084366336,4.8570623,0.20427999,0.126,0.20588576761718705,Big,Low,Robust,Aggressive
DECK,14935209984,5.964455,0.43312,0.091,0.16765991192824825,Small,Low,Robust,Aggressive
DELL,85530951680,-32.48982,,0.108,-0.030778871658876533,Big,Low,Weak,Aggressive
DG,29550956544,3.6098416,0.16450001,0.046,0.27702046538551717,Small,High,Robust,Conservative
DGX,19578048512,2.6775963,0.14353,0.132,0.37346929408290563,Small,High,Weak,Aggressive
DHI,42193985536,1.7586551,0.14321,-0.032,0.5686163250542986,Big,High,Weak,Conservative
DHR,165286182912,3.1923163,0.06843,0.044,0.31325216739957756,Big,High,Weak,Conservative
DIS,203562074112,1.8456272,0.12203,-0.005,0.5418212302029359,Big,High,Weak,Conservative
DLR,53812535296,2.3678582,0.05825,0.111,0.4223225867157079,Big,High,Weak,Aggressive
DLTR,24380274688,6.923656,0.20066999,0.094,0.1444323634796414,Small,Low,Robust,Aggressive
DOC,10966307840,1.4434687,-0.00115,0.008,0.6927756729328457,Small,High,Weak,Conservative
DOV,27423784960,3.5787797,0.15883,0.048,0.27942485534943656,Small,High,Robust,Conservative
DOW,16276572160,0.9279144,-0.05287,-0.083,1.0776856141040596,Small,High,Weak,Conservative
DPZ,14468350976,-3.775514,,0.031,-0.26486459856856576,Small,Low,Weak,Conservative
DRI,21803247616,10.417827,0.54104,0.073,0.09598930755905237,Small,Low,Robust,Conservative
DTE,26691420160,2.1953845,0.11658,0.214,0.4555010750964125,Small,High,Weak,Aggressive
DUK,90823057408,1.7996485,0.09905,0.048,0.5556640643992424,Big,High,Weak,Conservative
DVA,8202480128,-14.23855,0.61618,0.048,-0.07023187052052351,Small,Low,Robust,Conservative
DVN,23068633088,1.4891002,0.18586999,0.071,0.6715464815598037,Small,High,Robust,Conservative
DXCM,26219501568,9.565093,0.30635,0.216,0.10454681412925103,Small,Low,Robust,Aggressive
EA,51089178624,8.488967,0.13201,-0.092,0.1177999631757315,Big,Low,Weak,Conservative
EBAY,38410850304,8.086396,0.42430001,0.095,0.12366448539003036,Small,Low,Robust,Aggressive
ECL,75086856192,11.285702,0.21869,0.178,0.08860769139571469,Big,Low,Robust,Aggressive
ED,35714576384,1.4780349,0.08839,0.107,0.6765740105324983,Small,High,Weak,Aggressive
EFX,27102191616,5.4613843,0.13066,0.072,0.18310375997528686,Small,Low,Weak,Conservative
EG,14148284416,0.9206957,0.03595,-0.009,1.0861351910300006,Small,High,Weak,Conservative
EIX,23113132032,1.4900268,0.15765001,0.106,0.6711288682861274,Small,High,Robust,Aggressive
EL,38789177344,9.971283,-0.20727,0.036,0.10028799704110294,Big,Low,Weak,Conservative
ELV,77285695488,1.7338372,0.12569,0.123,0.5767554185594819,Big,High,Weak,Aggressive
EMN,7175877632,1.2346387,0.12116,-0.106,0.8099535515936767,Small,High,Weak,Conservative
EMR,76186312704,3.7596428,0.09363,0.051,0.26598271516645144,Big,High,Weak,Conservative
ENPH,4216300032,4.2372437,0.20305,0.078,0.2360024749107539,Small,Low,Robust,Aggressive
EOG,56777854976,1.8672005,0.18476999,-0.024,0.5355611247961856,Big,High,Robust,Conservative
EPAM,11584957440,3.0820293,0.10207,0.194,0.3244615487594489,Small,High,Weak,Aggressive
EQIX,74634182656,5.271944,0.077,0.066,0.18968335020250593,Big,Low,Weak,Conservative
EQR,24530712576,2.143103,0.10444,0.046,0.46661313058681736,Small,High,Weak,Conservative
EQT,34024343552,1.4696211,0.08488,0.514,0.6804474976577296,Small,High,Weak,Aggressive
ERIE,14838818816,6.426905,0.30444,0.067,0.15559588946779204,Small,Low,Robust,Conservative
ES,24901304320,1.553205,0.0861,0.051,0.6438300159991759,Small,High,Weak,Conservative
ESS,17936392192,2.9700243,0.15987,0.062,0.3366975819019393,Small,High,Robust,Conservative
ETN,125669933056,6.6539555,0.20653,0.101,0.15028654760315124,Big,Low,Robust,Aggressive
ETR,41234292736,2.4748044,0.11188,0.125,0.4040723379997223,Big,High,Weak,Aggressive
EVRG,16706639872,1.6236353,0.08454,-0.001,0.6159018592414196,Small,High,Weak,Conservative
EW,50625638400,4.9066806,0.13492,0.147,0.20380376908984052,Big,Low,Weak,Aggressive
EXC,43894046720,1.5617925,0.10308,0.09,0.64028992327726,Big,High,Weak,Aggressive
EXE,26477324288,1.4586942,0.061189998,3.193,0.6855446467121072,Small,High,Weak,Aggressive
EXPD,20581713920,8.9122,0.36505002,-0.035,0.1122057404456812,Small,Low,Robust,Conservative
EXPE,35658543104,26.523422,0.53886,0.087,0.03770252571481915,Small,Low,Robust,Aggressive
EXR,28675227648,2.0168643,0.06786,0.034,0.49581917831556643,Small,High,Weak,Conservative
F,52953989120,1.1173701,0.10295,0.094,0.8949586175610033,Big,High,Weak,Aggressive
FANG,42890264576,1.087381,0.10901,0.42,0.9196408618506301,Big,High,Weak,Aggressive
FAST,47896051712,12.299529,0.32742,0.117,0.08130392635360265,Big,Low,Robust,Aggressive
FCX,74524803072,3.9858692,0.14538999,0.027,0.25088630605339485,Big,Low,Weak,Conservative
FDS,10997234688,5.019413,0.28831,0.068,0.1992264832561098,Small,Low,Robust,Conservative
FDX,69656412160,2.465322,0.15886,0.139,0.4056265266768398,Big,High,Robust,Aggressive
FE,25786988544,2.014895,0.11192001,0.112,0.4963037776162033,Small,High,Weak,Aggressive
FFIV,15130020864,4.182752,0.20602,0.085,0.23907704783836098,Small,Low,Robust,Aggressive
FI,34314950656,1.3638307,0.1354,0.009,0.73322883844747,Small,High,Weak,Conservative
FICO,41425031168,-23.491827,,0.136,-0.04256799609498231,Big,Low,Weak,Aggressive
FIS,34894893056,2.5015917,0.011829999,0.057,0.3997454900414004,Small,High,Weak,Conservative
FITB,31796254720,1.6441634,0.115109995,0.067,0.6082120548359122,Small,High,Weak,Conservative
FOX,30373867520,2.3498125,0.17272,0.049,0.4255658696172567,Small,High,Robust,Conservative
FOXA,32723017728,2.6853437,0.17272,0.049,0.3723918096592254,Small,High,Robust,Conservative
FRT,8778006528,2.8558922,0.10516,0.06,0.3501532725920117,Small,High,Weak,Conservative
FSLR,28907743232,3.2065277,0.16864,0.797,0.3118638270300924,Small,High,Robust,Aggressive
FTNT,61807022080,81.47475,2.28043,0.144,0.012273741251123814,Big,Low,Robust,Aggressive
FTV,18825033728,2.717062,0.103649996,0.023,0.36804460111694176,Small,High,Weak,Conservative
GD,92878217216,3.7954786,0.17782,0.106,0.2634713840831562,Big,High,Robust,Aggressive
GDDY,17548412928,186.94691,3.69454,0.103,0.005349112215869201,Small,Low,Robust,Aggressive
GE,334600437760,17.69261,0.42131,0.238,0.05652077336243777,Big,Low,Robust,Aggressive
GEHC,38040748032,3.7979763,0.24450001,0.058,0.26329811484079035,Small,High,Robust,Conservative
GEN,16928857088,6.893521,0.25027,0.253,0.14506374898981234,Small,Low,Robust,Aggressive
GEV,180062519296,20.757235,0.16723,0.118,0.04817597334134339,Big,Low,Robust,Aggressive
GILD,155336622080,7.2184744,0.40706003,0.03,0.13853342750651024,Big,Low,Robust,Conservative
GIS,24886267904,2.6712487,0.27173,-0.072,0.3743567568231292,Small,High,Robust,Conservative
GL,11532473344,2.0097404,0.22277,0.04,0.4975767019461817,Small,High,Robust,Conservative
GLW,76596576256,6.2576165,0.12739,0.209,0.15980525492413925,Big,Low,Weak,Aggressive
GM,78784438272,1.1631993,0.04442,-0.003,0.8596979038759738,Big,High,Weak,Conservative
GNRC,8208139776,3.1047723,0.11969,-0.05,0.3220848111792288,Small,High,Weak,Conservative
GOOG,3810836348928,9.854836,0.3545,0.159,0.10147302299094575,Big,Low,Robust,Aggressive
GOOGL,3807445516288,9.813317,0.3545,0.159,0.10190234351952557,Big,Low,Robust,Aggressive
GPC,17230225408,3.5996397,0.16994,0.049,0.27780558148639156,Small,High,Robust,Conservative
GPN,19454664704,0.8370389,0.07233,0.005,1.194687606513867,Small,High,Weak,Conservative
GRMN,39118622720,4.611405,0.19655001,0.117,0.21685364872528,Big,Low,Robust,Aggressive
GS,272966631424,2.590979,0.13532,0.207,0.38595449828037975,Big,High,Weak,Aggressive
GWW,48975437824,13.693628,0.46719003,0.061,0.07302666612529565,Big,Low,Robust,Conservative
HAL,24017801216,2.3275223,0.12788,-0.017,0.42964142599192284,Small,High,Weak,Conservative
HAS,11424837632,28.11119,-0.62839,0.083,0.035573022700212974,Small,Low,Weak,Aggressive
HBAN,27921260544,1.3258057,0.10434,0.148,0.7542583351391534,Small,High,Weak,Aggressive
HCA,110922285056,-20.423075,,0.096,-0.04896422306631102,Big,Low,Weak,Aggressive
HD,343421583360,28.329638,1.62909,0.028,0.035298721430891564,Big,Low,Robust,Conservative
HIG,38789451776,2.1467931,0.20069,0.07,0.4658110742017943,Big,High,Robust,Conservative
HII,13911872512,2.7912762,0.12387,0.161,0.35825906443798,Small,High,Weak,Aggressive
HLT,68530757632,-13.76837,,0.035,-0.07263023872833167,Big,Low,Weak,Conservative
HOLX,16688915456,3.301001,0.11116,0.062,0.3029384117120837,Small,High,Weak,Conservative
HON,131741523968,7.3960576,0.34616002,0.07,0.1352071676672718,Big,Low,Robust,Conservative
HPE,32802824192,1.3125434,0.0023,0.144,0.7618795690870107,Small,High,Weak,Aggressive
HPQ,21432713216,-60.984047,,0.042,-0.016397731032838803,Small,Low,Weak,Conservative
HRL,13252083712,1.6772262,0.06002,0.015,0.5962225011748564,Small,High,Weak,Conservative
HSIC,9277032448,2.6986983,0.08347999,0.052,0.37054901616827635,Small,High,Weak,Conservative
HST,12789143552,1.8955194,0.109239995,0.009,0.5275598867518845,Small,High,Weak,Conservative
HSY,37032615936,8.112839,0.31013,0.065,0.12326141317484546,Small,Low,Robust,Conservative
HUBB,24229756928,6.5818768,0.24991,0.041,0.15193234853621082,Small,Low,Robust,Conservative
HUM,30924611584,1.6696104,0.07159,0.111,0.59894212446209,Small,High,Weak,Aggressive
HWM,84351926272,16.599604,0.30064,0.138,0.060242400963300094,Big,Low,Robust,Aggressive
IBM,283953856512,10.175861,0.30156,0.091,0.0982717826039487,Big,Low,Robust,Aggressive
ICE,92703916032,3.2226932,0.114930004,0.026,0.3102994725033087,Big,High,Weak,Conservative
IDXX,54588002304,34.963364,0.64633006,0.133,0.028601366847881116,Big,Low,Robust,Aggressive
IEX,13577309184,3.3717864,0.12197,0.101,0.2965786919361203,Small,High,Weak,Aggressive
IFF,17009774592,1.1944785,-0.03232,-0.079,0.8371854328060321,Small,High,Weak,Conservative
INCY,19810924544,4.255113,0.30389,0.2,0.23501138512655248,Small,Low,Robust,Aggressive
INTC,173389479936,1.6285841,0.0018600001,0.028,0.6140303101325869,Big,High,Weak,Conservative
INTU,187680587776,9.717053,0.21987,0.41,0.10291186021111545,Big,Low,Robust,Aggressive
INVH,16484123648,1.7125207,0.06,0.065,0.5839345474772947,Small,High,Weak,Conservative
IP,20836390912,1.2029021,-0.042779997,0.564,0.83132284830162,Small,High,Weak,Aggressive
IPG,8999164928,2.4411328,0.14948,-0.048,0.40964588243621974,Small,High,Weak,Conservative
IQV,38343045120,6.2245994,0.19374001,0.052,0.16065290884422218,Small,Low,Robust,Conservative
IR,32372506624,3.1791568,0.05382,0.051,0.31454881369802207,Small,High,Weak,Conservative
IRM,23883632640,-27.068678,,0.126,-0.036943067555792714,Small,Low,Weak,Aggressive
ISRG,206962835456,12.102803,0.16902,0.229,0.0826254876659564,Big,Low,Robust,Aggressive
IT,18962728960,32.802307,1.0925701,0.027,0.030485660657953113,Small,Low,Robust,Conservative
ITW,73408446464,22.773558,0.91683,0.023,0.043910573833039174,Big,Low,Robust,Conservative
IVZ,12081159168,1.096628,0.06904,0.082,0.9118862549561019,Small,High,Weak,Aggressive
J,16133261312,4.443645,0.06523,,0.22504047915618822,Small,Low,Weak,Aggressive
JBHT,19072362496,5.2524524,0.15126,-0.005,0.19038725605585688,Small,Low,Weak,Conservative
JBL,25114253312,18.714275,0.47823003,0.187,0.053435145096457116,Small,Low,Robust,Aggressive
JCI,79265710080,5.7263746,0.11374,0.031,0.17463055944680952,Big,Low,Weak,Conservative
JKHY,13465587712,6.1854534,0.2345,0.073,0.16166963605287205,Small,Low,Robust,Conservative
JNJ,495784755200,6.245789,0.33619,0.068,0.16010787428137582,Big,Low,Robust,Conservative
JPM,896227278848,2.6083372,0.16437,0.088,0.3833860131274438,Big,High,Robust,Aggressive
K,29031499776,6.907285,0.32112,0.008,0.1447746835406386,Small,Low,Robust,Conservative
KDP,37904470016,1.4967811,0.06291,0.107,0.668100365511029,Small,High,Weak,Aggressive
KEY,23081658368,1.3309307,0.058179997,2.026,0.7513539209817611,Small,High,Weak,Aggressive
KEYS,35265462272,5.9749064,0.1582,0.103,0.16736663858031314,Small,Low,Robust,Aggressive
KHC,28052637696,0.6769881,-0.09693,-0.023,1.4771308387843154,Small,High,Weak,Conservative
KIM,13618394112,1.2986763,0.056700002,0.056,0.770014822015309,Small,High,Weak,Conservative
KKR,121295781888,4.2901587,0.07672,0.132,0.23309161034066175,Big,Low,Weak,Aggressive
KLAC,167074742272,33.47184,0.99167997,0.13,0.02987585982724583,Big,Low,Robust,Aggressive
KMB,33225820160,24.94021,1.3688201,0.001,0.040095893338508375,Small,Low,Robust,Conservative
KMI,60691464192,1.9743794,0.08884,0.121,0.5064882666421662,Big,High,Weak,Aggressive
KMX,5500750848,0.9070322,0.07459,-0.067,1.1024966919586758,Small,High,Weak,Conservative
KO,300697223168,9.619992,0.42442,0.051,0.10395019039516873,Big,Low,Robust,Conservative
KR,41284853760,5.0494404,0.07997,0.007,0.19804174735877664,Big,Low,Weak,Conservative
KVUE,32608700416,3.0661142,0.13469,-0.035,0.32614571238083695,Small,High,Weak,Conservative
L,22300411904,1.2163279,0.08182,0.046,0.8221467254019249,Small,High,Weak,Conservative
LDOS,23904360448,4.8527155,0.2929,0.067,0.2060701889488473,Small,Low,Robust,Conservative
LEN,25867737088,1.2037005,0.08406,-0.058,0.8307714418993761,Small,High,Weak,Conservative
LH,21036765184,2.4159684,0.10135999,0.086,0.4139126985270171,Small,High,Weak,Aggressive
LHX,55722442752,2.8539803,0.091309994,0.069,0.3503878425509805,Big,High,Weak,Conservative
LII,17370712064,16.209438,0.92253995,-0.048,0.061692453495303175,Small,Low,Robust,Conservative
LIN,199333445632,5.1403284,0.17979999,0.031,0.1945400998115218,Big,Low,Robust,Conservative
LKQ,7716222464,1.172767,0.10882,0.013,0.852684292787911,Small,High,Weak,Conservative
LLY,960678920192,40.347893,0.9647,0.539,0.024784441655974453,Big,Low,Robust,Aggressive
LMT,112658563072,17.956017,0.62776,0.088,0.05569163807318739,Big,Low,Robust,Aggressive
LNT,16775324672,2.2957857,0.11461,0.119,0.4355807251521777,Small,High,Weak,Aggressive
LOW,135834402816,-13.084945,,0.032,-0.07642370678669265,Big,Low,Weak,Conservative
LRCX,220882419712,21.638048,0.62261003,0.277,0.04621488962405481,Big,Low,Robust,Aggressive
LULU,25221541888,5.5700183,0.41017,0.071,0.17953262379766327,Small,Low,Robust,Conservative
LUV,21826801664,2.764033,0.04168,0.012,0.3617901812315555,Small,High,Weak,Conservative
LVS,45443227648,28.571428,0.65651,0.242,0.03500000070000001,Big,Low,Robust,Aggressive
LW,5824933376,3.3087943,0.23164,0.011,0.3022248920097571,Small,High,Robust,Conservative
